Authors	Title	Citation	DOI	Year	Month	0	1	2	3	Score	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	SUM  Completed	First_Author	Last_author	Duration in Career	Highest Degree Obtained	Degree Area	Publication Rate	Other Journals Published in	University_name	Type	Established	Academic_staff	Students	No_in_lab	Country	Latitude	Longitude	Campus	world_rank	teaching	international	research	citations	income	student_staff_ratio	international_students	female_male_ratio	pop_density_map.png	privacy_map.jpg	english_language_map.png	Grover identified falsification
Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer	Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network	PLOS One, January 2013 | Volume 8 | Issue 1 | e53510	10.1371/journal.pone.0053510	2013	01-Jan	1		1		4	duplicated blot, shifted microscopy	1	10-09-2015		1		1	Inka Regine Weingaertner	Hermann Ammer	8	PhD	molecular biology	0.375	Genetics	Ludwig-Maximilians-University	Public	1472	6017	51025	8.4801396	Germany	-48.150833	-11.580278											0	0	0	Original
Jessica M. Esparza, Eileen OÕToole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher	Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii	PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940	10.1371/journal.pone.0053940	2013	01-Jan		1			2	duplicated colony strip	1	01/15/2016		1		1	Jessica M. Esparza	Susan K. Dutcher	12	PhD	genetics	3	molecular biology	Washington University School of Medicine	Private	1891	1874	1349	0.71985059	United States	-38.636944	90.2647222	Urban										0	0	0	Original
Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London	Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome	PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285	10.1371/journal.pone.0057285	2013	02-Feb			1		3	reuse of one lane in different blot experiment	1	08-04-2015		1		1	Sreedevi Avasarala	Lucille London	5	PhD	biology	0.2173913	Molecular Cancer, Research	Stony Brook University	Public	1957	2738	26814	9.79327977	United States	-40.915	73.1238889	Suburban	226	32.6	53.2	22	83	33.4	10.9	0.24	2.118055556	0	0	0	Original
Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin 	miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells	PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170	10.1371/journal.pone.0062170	2013	04-Apr	1			1	5	Duplicated / mirrored bands in blot	1	04-10-2017	1			1	Rounak Nassirpour	Min-Jean Yin	10	PhD	molecular biology	2	Cancer Research	University of California, San Diego	Public	1960	10625	38736	3.64574118	United States	-32.88	117.233889	Urban	39	56.9	42.9	69.8	98.7	56.7	6.5	0.11	2.036111111	0	0	0	Original
Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong	HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904	10.1371/journal.pone.0064904	2013	05-May		1			2	multiple duplicated microscopy images	1	9/19/2014		1		1	Jianuo Liu	Huangui Xiong	18	PhD	pharmacology	0.4285714	Journal of Neuroimmune Pharmacology	University of Nebraska Medical Center	Public	1880	0	4055	0	United States	41.2558333	95.9755556		376	37	37.7	13.3	64.4	33.6	2.6	0.08	2.814583333	0	2	2	Original
Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang	Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC)	PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581	10.1371/journal.pone.0063581	2013	05-May			1		3	part of blot panel reused to represent different protein	1			1		1	Yang Wang	Yue Yang	17	PhD	theoretical physics	31.8823	physics review	Peking University	Public	1898	7317	39575	5.40863742	China	-39.98972222	-116.3052777	Urban	42	77.8	49.2	72.4	69.1	100	8.3	0.14		0	0	0	Original
Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona	LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508	10.1371/journal.pone.0070508	2013	07-Jul	1			1	5	duplicated lanes within same blot, or in different blots, duplicated microscopy panel	1	10/16/2014		1		1	Elizabeth Ngoc Hoa Tran	Renato Morona	7	PhD	microbiology	0.2916667	PloS One	University of Adelaide	Public	1874	1481	27357	18.4719784	Australia	34.9191667	-138.60417	Urban	149	32.8	85.1	43.2	72.4	79.3	30.1	0.26	2.036111111	5	0	0	Original
Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena	miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296	10.1371/journal.pone.0068296	2013	07-Jul			1		3	overlapping microscopy images,but rotated/stretched	1	05-08-2015		1		1	Fabio Sallustio	Francesco P. Schena	16	PhD	biotechnology	0.3555556	nature	University of Bari	Public	1925	0	49000	0	Italy	-41.120278	-16.868333	Urban										0	0	2	Original
Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang	Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485	10.1371/journal.pone.0069485	2013	07-Jul				1	4	multiple overlapping microscopy images, groups of cells visible in multiple images	1	11/25/2014		1		1	Jia Ma	Zhiwei Wang	10	PhD	biochemistry	2	European journal of cell biology	Bengbu Medical College		1958	0	0	0	China	-32.909167	-117.42389											0	0	0	Original
Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon 	PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease	PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583	10.1371/journal.pone.0069583	2013	07-Jul				1	4	possible duplicated lanes within same blot, patch in other blot	1	7/20/2015		1		1	Yael Friedman-Levi	Ruth Gabizon	5	PhD	disease	0.2272727	cell biology	Hadassah Medical Center			0	0	0	West Jerusalem	-31.797222	-35.241944											0	0	4	Original
